0,BCWANDER
1,MOMDEM
2,FSVERSION
3,BCCHEST
4,NXABNORM
5,DXPARK
6,DXMPTR4
7,BCURNDIS
8,BCVOMIT
9,APGEN2
10,BCELMOOD
11,DXMPTR2
12,DXMPTR3
13,DXNODEP
14,NXHEEL
15,DXMPTR5
16,DXNORM
17,NXCONSCI
18,DXMPTR1
19,MH15DRUG
20,DX_CHANGE
