0,BCELMOOD
1,BCURNDIS
2,NXCONSCI
3,NXABNORM
4,DX_CHANGE
5,NXHEEL
6,BCCHEST
7,BCWANDER
8,BCVOMIT
9,FSVERSION
10,MOMDEM
11,APGEN2
12,MH15DRUG
