,AGE,PTEDUCAT,FDG,AV45,ABETA,TAU,PTAU,CDRSB,ADAS11,ADAS13,ADASQ4,MMSE,RAVLT_immediate,RAVLT_learning,RAVLT_forgetting,RAVLT_perc_forgetting,LDELTOTAL,TRABSCOR,FAQ,MOCA,EcogPtMem,EcogPtLang,EcogPtVisspat,EcogPtPlan,EcogPtOrgan,EcogPtDivatt,EcogPtTotal,EcogSPMem,EcogSPLang,EcogSPVisspat,EcogSPPlan,EcogSPOrgan,EcogSPDivatt,EcogSPTotal,Ventricles,Hippocampus,WholeBrain,Entorhinal,Fusiform,MidTemp,ICV,mPACCdigit,mPACCtrailsB,Month,PTDOBYY,GDTOTAL,HMT100,HMT10,HMT4,RCT9,RCT13,HMT2,HMT8,RCT183,HMT16,HMT7,RCT1,HMT17,RCT19,RCT4,HMT12,RCT1407,RCT1408,HMT3,HMT11,RCT3,RCT5,HMT40,HMT15,RCT6,RCT392,HMT13,HMT19,RCT20,RCT8,RCT12,HMT9,RCT29,HMT18,RCT11,BAT126,HMT102,RCT14,HMSCORE,MMSCORE,MH3HEAD_1.0,BCDIZZY_2.0,BCANKLE_2.0,DXDEP_1.0,MH17MALI_1.0,NXSENSOR_2.0,BCINSOMN_2.0,NXVISUAL_2.0,PTHAND_2.0,MH2NEURL_1.0,NXAUDITO_2.0,BCDROWSY_2.0,BCURNFRQ_2.0,BCSWEATN_2.0,MOMAD_1.0,MOMAD_2.0,DADDEM_1.0,DADDEM_2.0,MH13ALLE_1.0,NXTREMOR_2.0,PTNOTRT_1.0,PTNOTRT_2.0,BCENERGY_2.0,BCABDOMN_2.0,MH16SMOK_1.0,MH10GAST_1.0,MH14ALCH_1.0,PTMARRY_Married,PTMARRY_Never married,PTMARRY_Unknown,PTMARRY_Widowed,BCBREATH_2.0,NXPLANTA_2.0,BCCONSTP_2.0,MH18SURG_1.0,NXNERVE_2.0,MHPSYCH_1.0,MH6HEPAT_1.0,NXOTHER_2.0,PTGENDER_Male,BCCOUGH_2.0,BCMUSCLE_2.0,BCNAUSEA_2.0,BCFALL_2.0,PTTLANG_2.0,BCDPMOOD_2.0,PTETHCAT_Not Hisp/Latino,PTETHCAT_Unknown,MH9ENDO_1.0,MH12RENA_1.0,APGEN1_3.0,APGEN1_4.0,BCPALPIT_2.0,NXGAIT_2.0,BCHDACHE_2.0,MH4CARD_1.0,NXMOTOR_2.0,BCDRYMTH_2.0,MH5RESP_1.0,BCDIARRH_2.0,BCRASH_2.0,MH8MUSCL_1.0,NXTENDON_2.0,MH7DERM_1.0,PTRACCAT_Asian,PTRACCAT_Black,PTRACCAT_Hawaiian/Other PI,PTRACCAT_More than one,PTRACCAT_Unknown,PTRACCAT_White,BCCRYING_2.0,BCVISION_2.0,APOE4_1.0,APOE4_2.0,NXFINGER_2.0,MH11HEMA_1.0,FSVERSION_Cross-Sectional FreeSurfer (FreeSurfer Version 4.3),NXABNORM_2.0,BCVOMIT_2.0,NXCONSCI_2.0,BCELMOOD_2.0,NXHEEL_2.0,APGEN2_3.0,APGEN2_4.0,BCWANDER_2.0,MOMDEM_1.0,MOMDEM_2.0,DXPARK_1.0,BCURNDIS_2.0,MH15DRUG_1.0,BCCHEST_2.0
42,0.0,4.166997493826949e-05,0.0014683560454798754,7.073150491611814e-09,0.03914291896018519,0.0002962393732229061,3.545909308041201e-08,0.0,0.001218191044170736,0.0,0.0,6.931854913834982e-10,3.238899026808064e-05,5.4448430694969086e-11,0.0,3.770628402723233e-05,4.474548205360764e-05,0.0026239944984637943,0.1370755844166409,1.0250431732277238e-05,8.482477545788391e-07,0.0,4.3059905376669074e-10,0.0,0.0,0.07356251589494861,0.01718103863051565,0.006336637709625527,0.0,0.0,0.0,1.3394620485966818e-06,0.0,0.0,0.005350497297480642,0.4173720334089161,0.0,9.543710365910545e-08,0.0015157001965081373,9.181216207609467e-05,2.6801215655360675e-05,3.7208264754996055e-06,1.211149923097333e-09,0.0,0.0,0.0,2.4107382787498186e-11,0.0,0.0,5.115726826451359e-10,0.0023014916971458997,4.940950118740978e-06,0.0,0.0,0.002019855409264488,1.7425678047778367e-07,2.1123987452695738e-07,0.0,0.0,2.2727818899050654e-07,0.0,1.7807441352500656e-08,2.3070375235593894e-06,2.8427985036075586e-05,0.018632341996475194,1.6160373993557071e-06,0.0002171907447727125,3.7625427665194725e-11,3.659533495947362e-09,3.649502313775064e-05,4.710958167645619e-05,8.798480244454367e-06,0.0,0.26893848533473924,0.0,0.0010264186650019765,0.0,0.0,1.1163251092975548e-11,0.0,5.7227497278728e-08,0.0,1.0283213008259213e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.125536677623181e-06,0.0,0.0,0.0,0.0,0.0,1.681096779801377e-08,0.0,0.0,0.0,5.779708404128563e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5709485034852654e-05,0.0,0.0,0.0,0.0,2.9984989724857937e-07,0.0,0.0,0.0,0.0,0.0,0.0032589674043789377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.643158329335209e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.2077506620997747,2.229588470293294e-05,8.329941666964053e-07,2.361943920008587e-09,0.0,7.536047409515069e-20,0.19245076619865253,9.467250970656134e-08,0.0,4.553251846923311e-06,0.06545666928777356,0.0,5.822548048209501e-06,0.0,0.0,0.0,4.274312980541816e-12,2.7332623928761097e-09,1.450158554400894e-06,1.680745407091516e-09,1.9130131831097546e-08,1.1329646354472228e-07,0.0,0.0023606494924140707,4.059139694780731e-07,0.0,1.8546399095819854e-06,5.681321319163159e-05,2.16743392504421e-10,0.0009138246220674583,1.0011887231516432e-18,0.00017986266027846865,3.9654395485351995e-17,1.3546159739609695e-13,1.5800336455824155e-06,0.0024598574638257545,0.0,1.0498134923176519e-06,7.34003960366736e-07,0.018827612064500888,8.397065962382135e-10,1.7541765518874132e-11,1.2842120157403878e-05,0.0,4.304409311323574e-11,3.2130526984623723e-06,4.796518919526791e-07,0.0007563417042058099,7.167676608448343e-11,3.6981001651820086e-06,8.385213146688265e-05,0.0,1.2475918828529303e-06,8.943169534836462e-15,0.0,0.0,1.0305099606366065e-08,2.794438816754274e-10,4.360370137570252e-09,1.6092726486084267e-05,0.0,1.8988411651069846e-07,4.378338027409108e-05,5.36902869366617e-06,0.00012269818742416744,0.2848874789813671,2.561962052532847e-05,1.1997234665197972e-10,0.0,1.633866456942909e-09,6.703328055579146e-12,3.293759162425911e-10,7.052045381679778e-07,0.020160872098743565,5.422292117809225e-07,4.472669340290117e-06,1.3382167370923251e-11,1.856396065186237e-10,0.20314934899140902,0.0,1.0471488386606082e-10,4.504536067568175e-09,1.6451358255003285e-11,2.73554326774801e-12,5.756247790304532e-13,6.856247373042404e-11,0.0,0.0,0.0,0.0,2.050329081890687e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7848531425453326e-12,0.0,4.428255754588595e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010338454784418329,0.0,0.0,0.0,0.0,1.8968874008070275e-05,0.0,0.0,0.0,1.1583630079725626e-11,0.0,0.0,0.0,0.0,9.789745737196809e-05,0.0,3.972783296778287e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.607525382543254e-15,2.847954242720157e-08,0.0,0.0,0.0,0.0,0.0,1.2252775036492243e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.04518021028032183,0.0,0.0,0.0008728889634310998,0.0015182991463538924,0.0,3.176419152584751e-13,0.0002830942488155672,4.0578005438307237e-08,2.4894390487791333e-12,5.553006066968017e-06,0.0,2.45724245342111e-09,0.0,0.0,0.0,1.8883760884932799e-06,0.0,5.075125746638283e-07,0.32962736599736037,3.9214879866003153e-07,0.0,2.95135439392626e-11,0.0,0.0,0.0,8.728811555322158e-11,1.1496221891384289e-08,0.08228182602235436,0.0,0.0,0.0,1.677637521584462e-13,0.0004169701800760487,0.00038629833018824185,0.0006174373937884452,0.0012866094494192913,7.125020559040076e-13,0.05902471520300796,0.0018675257952562446,0.013060707962925933,6.743013734575465e-08,0.0,0.0,0.00026524210051197483,0.0,5.376482290277133e-05,0.0,1.2771385411015785e-09,0.0,1.4681756144586362e-07,1.0059093126400871e-05,0.0,1.911917042284803e-08,0.05115922766303878,0.0,3.2417240491348994e-06,2.616113925535584e-07,0.35841868418263906,0.0,1.2688597241226053e-12,2.2299730640513504e-08,1.3081391225347315e-11,1.3315878515137348e-06,4.940705874318719e-05,5.9134433903282655e-05,1.707076876980517e-10,0.0,0.0,0.0,2.1860353543806486e-06,2.708903718605605e-07,1.0820516725502876e-08,0.00019609301737513014,1.4173511112877784e-12,0.038453783327539605,3.4184939360263826e-05,5.824109651995318e-14,3.4057994149230866e-09,2.9695738546360536e-08,0.0,0.0003500021885942545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.320792463150765e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1220629364040907e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.291429225930309e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014633987625763056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001645096212983408,0.012854312813970346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8257605011755996e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.669561017680335e-10,0.0,0.0,0.0,0.0,0.0
45,2.8452246244989344e-06,9.089941029789457e-08,0.03224671951762647,3.6417099232734643e-07,1.6089179798052228e-06,0.0,0.0015107859499185314,2.9589803782005445e-15,0.0,0.0,0.2549594505312562,1.0803711811858095e-12,0.0,4.453178080428637e-05,4.902801009513878e-07,3.9045871864703124e-05,3.63961123042181e-07,0.0,4.6429870247918337e-07,2.3638537623060665e-10,1.165960322800663e-09,3.683358180375218e-08,0.0,0.0,4.648576564517393e-06,1.6107851645834423e-06,0.0,1.2768975227103228e-12,0.21397213133252574,0.0,0.0,0.0,0.0,0.21490047734353354,0.0,0.002499406314856544,0.0012374380936785395,0.1034163188613207,0.0018658392830323226,3.165249773187401e-08,0.004408526461647648,0.0002817308980652108,8.309854855073392e-09,0.0,0.002480759299900563,0.0,5.516564120647669e-13,9.773870922332441e-11,3.3407903614139514e-17,1.0904209726282099e-14,0.025255553613779506,0.00012288168172984245,1.619108127118768e-05,0.0,0.0,0.01182200013129746,0.0,6.308733071070149e-08,0.0,0.10565397935245263,0.0,0.0,6.163686747883979e-11,0.0,0.0,9.543896111653234e-05,3.849703289105817e-05,0.0,0.021349911399085895,9.962946408165451e-14,2.201474579727303e-06,0.00034322734734058185,0.0,1.2002563418429627e-17,6.979728441273816e-09,0.00109157554415537,6.268425318554757e-07,0.0,0.0,3.2683746874613765e-08,2.958683862638926e-12,1.1231875834262488e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028374750181561797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.111564150755044e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1435198300625533e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5812477707373735e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.322698247779976e-05,0.0,0.0,0.0,0.0,0.0,1.033814036465644e-09,0.0,0.0,0.0,0.0,0.0,2.460632796949679e-14,0.0,0.0,2.604082091930466e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.849599778739365e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,1.5370410427186618e-11,4.5972670529981376e-10,1.3268593310773188e-06,1.5924580526946001e-06,0.0004954725919977962,4.919347830925225e-07,0.018218589060506767,0.00901540040420859,5.106027063909219e-07,0.0,0.0068891641043412255,1.1980501274692641e-06,2.4414933953833296e-07,2.8138538052155084e-06,0.0,0.00017999484621583823,2.2647190547543012e-10,5.402081399470343e-07,0.0,9.121668031305445e-07,5.064556173608705e-17,5.646969380409679e-11,0.0,3.008845012691371e-07,0.0,2.3343500767388677e-10,1.1054946958088106e-12,0.1286848995943088,9.979009224731308e-09,4.4520322929322955e-14,4.810164706149495e-12,4.463166281231352e-08,9.187771037268431e-08,0.0,0.3119266902525057,4.705930369127691e-15,0.0,0.0,2.138962567351672e-16,2.484287000271339e-14,3.60878967314866e-05,1.3105989316382565e-08,3.46589734675274e-09,0.0,8.840116219460707e-09,8.742065088103789e-08,5.2477628411826956e-18,0.000161637545930988,3.362769912583605e-05,4.834936493434744e-13,0.0001145215823925964,1.0162783294819208e-07,0.0,4.5480848714958285e-11,0.10632452853898987,1.727949058901278e-05,0.0011692171354516381,1.3028849129675838e-09,7.556040319693443e-08,1.8292908128931314e-05,3.686695369179275e-15,0.0,1.8451476161460237e-05,2.25184588359854e-09,1.0608814179597707e-12,0.06471316438852436,9.17282046449125e-11,4.5001865409615785e-06,5.238302412956494e-12,0.0,0.0,1.5147511118245492e-07,0.0,0.3518628107468278,7.61457184264504e-12,0.0,2.695037102355584e-11,0.0,0.0,0.0,1.7640118664224876e-13,1.3801182117724535e-10,6.634448562624493e-08,0.0,0.0,0.0,0.0,1.0480422504072445e-13,0.0,0.0,3.363172065066143e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010503978645130708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.64963907484632e-11,0.0,0.0,0.0,2.4811331312720165e-14,0.0,7.961743643384519e-14,0.0,0.0,5.374333877773004e-12,0.0,0.0,0.0,2.1945697262629592e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.733556065510892e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.196602273699666e-11,0.0,0.0,0.0,0.0,0.0
47,0.005241529673858228,6.706612072347312e-06,8.062541451530339e-11,2.0597269272708503e-15,0.3157465457823265,6.562431861806285e-05,3.5588916796048276e-08,1.3930516049409938e-13,0.0,0.0012676845930473227,0.0,0.0,0.0,0.0,0.0,0.0001744344531965977,2.4816118396779527e-05,0.0,0.11274518602968434,1.1616883606812563e-06,3.875643949410437e-08,9.29437643943723e-10,1.5802851618232347e-13,2.5672002979790526e-08,3.3047045181163317e-09,0.0,0.0,3.530801836965124e-10,0.0,0.0,0.0,0.00169545141250339,0.0,0.0,0.0,0.16513625757183595,3.1383537978259737e-09,0.0,0.02311749857202638,0.19744955703835648,3.609740722463449e-07,1.255584880207273e-07,0.00015787505079101026,0.0,0.002886344795954467,0.0,4.006516658115046e-07,0.0,0.0,1.26062271298257e-06,0.0,8.441771715899392e-07,2.0644103482946586e-06,0.0,5.2980463729394025e-11,0.0,0.0,6.238777401794187e-05,0.052297232522785314,1.9464326615812254e-12,0.0,3.991921542836209e-09,1.2979410346756841e-07,0.0,0.0,0.0018719461553124244,7.818602822270827e-06,0.0,4.4349760802120774e-14,1.509545009648044e-08,4.8092074624910186e-08,2.2275337140584288e-10,0.0,0.0031712715180438928,0.005437059659072074,0.010844076466983087,0.0,0.0,0.00621997264584816,0.0,2.816609064155672e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3009339154393168e-08,0.011733973530303397,0.0,2.531506368223798e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.307486812251119e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08260402139821414,0.0,0.0,0.0,1.823174206149178e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,1.0754775298844576e-08,9.064967840690856e-09,0.09691853346532071,3.6165667454489687e-06,0.0004080515522308032,1.8249383500410604e-09,6.052607679774619e-12,0.0,0.04883520949559436,4.440255367799227e-14,6.000915787939354e-10,9.49785960981591e-15,4.500907217581817e-08,1.0415576547671316e-08,7.736148554465424e-15,4.4571982625377615e-05,0.05046104925057056,2.8035309704189015e-08,0.0,1.7615416972465755e-06,0.0,0.0,6.072128092856943e-06,0.0,6.915288520864196e-19,0.4959705153527762,4.563228413163837e-08,1.4240622788613707e-05,2.609274387537174e-06,0.0,0.0,1.1086793704591414e-08,4.556538630776168e-14,0.0010442946989474887,5.115377192075988e-09,9.66920427287501e-10,2.237426679709973e-05,0.007471162722746681,0.01177011687859913,8.52925814991322e-06,0.0,0.0,6.0731363411262e-08,9.09576774753474e-15,0.0,8.926459267352851e-09,0.0,3.616755543528133e-06,2.5744821608375093e-10,9.555462003069493e-16,4.4886575150731393e-07,4.494225228653426e-05,0.0003143395003222664,0.0,1.8826198609815115e-14,3.2800576663488816e-11,4.38974203075124e-11,0.0,0.0,0.0,0.0,0.000804221978999683,2.0839655565076068e-07,2.07036843519118e-17,0.21608012387072364,0.03189653573996871,0.0005278310184368087,2.9010672025180768e-05,0.006353595963685722,1.1122554213851953e-08,6.286306732489011e-12,4.210998051506483e-06,2.8665592233382428e-08,0.0002985268294034905,0.0030305154198628217,0.0,2.3264252217029848e-10,4.5695458705730875e-09,3.0768449559659444e-09,0.0,1.0471045016438453e-11,0.0,0.0,0.0,0.0,1.1787899821005236e-08,0.0,0.0,0.0,0.0004216256364290906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026842837938139623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.729678849822718e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036440112564782606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.651911474276127e-13,0.0,0.0
