Feature,Model,Score
HMT8,HMT8_0.5_StackingCVRegressor_0.25,0.997633526898414
mPACCtrailsB,mPACCtrailsB_0.5_StackingCVRegressor_0.25,0.9936519280592275
EcogPtPlan,EcogPtPlan_0.5_StackingCVRegressor_0.25,0.9560599249402789
RCT1408,RCT1408_0.5_StackingCVRegressor_0.25,0.25595903755605015
LDELTOTAL,LDELTOTAL_0.5_StackingCVRegressor_0.25,0.9595538735120325
Entorhinal,Entorhinal_0.5_StackingCVRegressor_0.25,0.5218883036055587
EcogPtTotal,EcogPtTotal_0.5_StackingCVRegressor_0.25,0.9985767191053447
Hippocampus,Hippocampus_0.5_StackingCVRegressor_0.25,0.6814800157112775
MOCA,MOCA_0.5_StackingCVRegressor_0.25,0.6634889191269107
MMSCORE,MMSCORE_0.5_StackingCVRegressor_0.25,0.9974322539553285
HMT3,HMT3_0.5_StackingCVRegressor_0.25,0.9794098768299955
FDG,FDG_0.5_StackingCVRegressor_0.25,0.49232011019498295
Fusiform,Fusiform_0.5_StackingCVRegressor_0.25,0.5930135069078595
EcogPtVisspat,EcogPtVisspat_0.5_StackingCVRegressor_0.25,0.97231035028477
EcogPtOrgan,EcogPtOrgan_0.5_StackingCVRegressor_0.25,0.969888605258179
EcogSPVisspat,EcogSPVisspat_0.5_StackingCVRegressor_0.25,0.9417751906975
RCT3,RCT3_0.5_StackingCVRegressor_0.25,0.2016725732288976
HMT2,HMT2_0.5_StackingCVRegressor_0.25,0.9800804930411682
HMT40,HMT40_0.5_StackingCVRegressor_0.25,0.9784889756752405
RCT29,RCT29_0.5_StackingCVRegressor_0.25,0.7413343198385586
RCT4,RCT4_0.5_StackingCVRegressor_0.25,0.5745017957963109
ADAS11,ADAS11_0.5_StackingCVRegressor_0.25,0.9788266029437552
EcogSPDivatt,EcogSPDivatt_0.5_StackingCVRegressor_0.25,0.9322184164566985
HMT12,HMT12_0.5_StackingCVRegressor_0.25,0.9586557466729412
RCT11,RCT11_0.5_StackingCVRegressor_0.25,0.01769805507204265
HMT19,HMT19_0.5_StackingCVRegressor_0.25,0.9665160816674578
ADAS13,ADAS13_0.5_StackingCVRegressor_0.25,0.9896522561944517
EcogSPPlan,EcogSPPlan_0.5_StackingCVRegressor_0.25,0.9423297867033155
ICV,ICV_0.5_StackingCVRegressor_0.25,0.8376963902491104
RCT1,RCT1_0.5_StackingCVRegressor_0.25,0.7059584026019379
EcogPtDivatt,EcogPtDivatt_0.5_StackingCVRegressor_0.25,0.9670551203296947
EcogSPMem,EcogSPMem_0.5_StackingCVRegressor_0.25,0.9759378864338526
EcogSPTotal,EcogSPTotal_0.5_StackingCVRegressor_0.25,0.9973688337517621
RCT20,RCT20_0.5_StackingCVRegressor_0.25,0.25745007451017804
mPACCdigit,mPACCdigit_0.5_StackingCVRegressor_0.25,0.9870504977019436
HMT102,HMT102_0.5_StackingCVRegressor_0.25,0.9090550706074911
RCT8,RCT8_0.5_StackingCVRegressor_0.25,0.31454070569054804
RCT5,RCT5_0.5_StackingCVRegressor_0.25,0.5585038873373696
ADASQ4,ADASQ4_0.5_StackingCVRegressor_0.25,0.9637207415950145
ABETA,ABETA_0.5_StackingCVRegressor_0.25,0.6894055594246951
HMT13,HMT13_0.5_StackingCVRegressor_0.25,0.24705123113420524
RAVLT_perc_forgetting,RAVLT_perc_forgetting_0.5_StackingCVRegressor_0.25,0.9201196253315487
HMT100,HMT100_0.5_StackingCVRegressor_0.25,0.9642332914610058
TAU,TAU_0.5_StackingCVRegressor_0.25,0.9585815408080477
RAVLT_learning,RAVLT_learning_0.5_StackingCVRegressor_0.25,0.604039288750246
RCT6,RCT6_0.5_StackingCVRegressor_0.25,0.3126844325173734
RCT14,RCT14_0.5_StackingCVRegressor_0.25,0.22357367052045354
HMT7,HMT7_0.5_StackingCVRegressor_0.25,0.9950238975919582
HMT18,HMT18_0.5_StackingCVRegressor_0.25,0.9306795403610635
BAT126,BAT126_0.5_StackingCVRegressor_0.25,0.023551596768452466
EcogSPLang,EcogSPLang_0.5_StackingCVRegressor_0.25,0.9737876435560732
RAVLT_forgetting,RAVLT_forgetting_0.5_StackingCVRegressor_0.25,0.9004178293396542
TRABSCOR,TRABSCOR_0.5_StackingCVRegressor_0.25,0.9578396729350693
RCT19,RCT19_0.5_StackingCVRegressor_0.25,0.14294360036719708
GDTOTAL,GDTOTAL_0.5_StackingCVRegressor_0.25,0.23480936097616076
HMT10,HMT10_0.5_StackingCVRegressor_0.25,0.9820738851558213
RCT1407,RCT1407_0.5_StackingCVRegressor_0.25,0.06447735729409593
HMT15,HMT15_0.5_StackingCVRegressor_0.25,0.998589380276197
HMT4,HMT4_0.5_StackingCVRegressor_0.25,0.9657092338682496
RCT9,RCT9_0.5_StackingCVRegressor_0.25,0.1293412968589864
