Feature,Model,Score
MH14ALCH,MH14ALCH_0.3_StackingCVClassifier_0.25,0.9562967222541692
DADDEM,DADDEM_0.3_StackingCVClassifier_0.25,0.7913000977517106
MH11HEMA,MH11HEMA_0.3_StackingCVClassifier_0.25,0.912593444508338
NXPLANTA,NXPLANTA_0.3_StackingCVClassifier_0.25,0.9798129000492368
PTHAND,PTHAND_0.3_StackingCVClassifier_0.25,0.9079457364341084
BCENERGY,BCENERGY_0.3_StackingCVClassifier_0.25,0.8062104657849338
BCDROWSY,BCDROWSY_0.3_StackingCVClassifier_0.25,0.8706152961472109
MH12RENA,MH12RENA_0.3_StackingCVClassifier_0.25,0.6682001150086256
RAVLT_perc_forgetting,RAVLT_perc_forgetting_0.3_StackingCVRegressor_0.25,0.9273890228118149
Ventricles,Ventricles_0.3_StackingCVRegressor_0.25,0.534263843397918
RCT4,RCT4_0.3_StackingCVRegressor_0.25,0.5764494532262181
RCT5,RCT5_0.3_StackingCVRegressor_0.25,0.5391555958873449
LDELTOTAL,LDELTOTAL_0.3_StackingCVRegressor_0.25,0.9625922788150159
Hippocampus,Hippocampus_0.3_StackingCVRegressor_0.25,0.6660159418204439
mPACCtrailsB,mPACCtrailsB_0.3_StackingCVRegressor_0.25,0.9932418170426056
RCT20,RCT20_0.3_StackingCVRegressor_0.25,0.2608971021654049
RCT8,RCT8_0.3_StackingCVRegressor_0.25,0.3343626734597316
RCT9,RCT9_0.3_StackingCVRegressor_0.25,0.13189056166801297
mPACCdigit,mPACCdigit_0.3_StackingCVRegressor_0.25,0.9848979590298076
FAQ,FAQ_0.3_StackingCVRegressor_0.25,0.7317286774002155
HMT9,HMT9_0.3_StackingCVRegressor_0.25,0.9631024457785564
RCT1,RCT1_0.3_StackingCVRegressor_0.25,0.7135287451508544
HMT4,HMT4_0.3_StackingCVRegressor_0.25,0.9664819760059382
RCT3,RCT3_0.3_StackingCVRegressor_0.25,0.20477111587327684
HMT12,HMT12_0.3_StackingCVRegressor_0.25,0.9592623157667547
HMT102,HMT102_0.3_StackingCVRegressor_0.25,0.9089797555339851
RCT1408,RCT1408_0.3_StackingCVRegressor_0.25,0.2594997437686313
HMT100,HMT100_0.3_StackingCVRegressor_0.25,0.9660459217466218
RCT12,RCT12_0.3_StackingCVRegressor_0.25,0.3768868848750852
HMT17,HMT17_0.3_StackingCVRegressor_0.25,0.9814811938776568
HMT11,HMT11_0.3_StackingCVRegressor_0.25,0.9190480342524415
RCT13,RCT13_0.3_StackingCVRegressor_0.25,0.4206814584744833
HMT19,HMT19_0.3_StackingCVRegressor_0.25,0.9661062768230462
RAVLT_learning,RAVLT_learning_0.3_StackingCVRegressor_0.25,0.6121429521436657
ADAS11,ADAS11_0.3_StackingCVRegressor_0.25,0.9785051460007097
HMT2,HMT2_0.3_StackingCVRegressor_0.25,0.9800744950708702
HMT3,HMT3_0.3_StackingCVRegressor_0.25,0.9815301346727316
ADASQ4,ADASQ4_0.3_StackingCVRegressor_0.25,0.9646901969134736
HMT16,HMT16_0.3_StackingCVRegressor_0.25,0.998094445050661
WholeBrain,WholeBrain_0.3_StackingCVRegressor_0.25,0.8589900437748814
HMT10,HMT10_0.3_StackingCVRegressor_0.25,0.9837255449431496
RCT6,RCT6_0.3_StackingCVRegressor_0.25,0.2960662991606326
ADAS13,ADAS13_0.3_StackingCVRegressor_0.25,0.9893258242849389
HMT13,HMT13_0.3_StackingCVRegressor_0.25,0.23964559700820384
RCT1407,RCT1407_0.3_StackingCVRegressor_0.25,0.07350968864566765
RCT11,RCT11_0.3_StackingCVRegressor_0.25,0.04017402903154361
RCT19,RCT19_0.3_StackingCVRegressor_0.25,0.1473427662577156
MidTemp,MidTemp_0.3_StackingCVRegressor_0.25,0.6304573822262667
HMT7,HMT7_0.3_StackingCVRegressor_0.25,0.995570349165469
HMT8,HMT8_0.3_StackingCVRegressor_0.25,0.9972709689172046
GDTOTAL,GDTOTAL_0.3_StackingCVRegressor_0.25,0.19826663156433677
BAT126,BAT126_0.3_StackingCVRegressor_0.25,0.025166107984646555
TRABSCOR,TRABSCOR_0.3_StackingCVRegressor_0.25,0.9602441457716858
ICV,ICV_0.3_StackingCVRegressor_0.25,0.8425034728923362
Fusiform,Fusiform_0.3_StackingCVRegressor_0.25,0.5916295316342272
RCT14,RCT14_0.3_StackingCVRegressor_0.25,0.2401726377566545
Entorhinal,Entorhinal_0.3_StackingCVRegressor_0.25,0.5276055403026786
RAVLT_forgetting,RAVLT_forgetting_0.3_StackingCVRegressor_0.25,0.9163397110869623
RCT183,RCT183_0.3_StackingCVRegressor_0.25,0.30963191737173235
HMT18,HMT18_0.3_StackingCVRegressor_0.25,0.9398020358930399
MMSCORE,MMSCORE_0.3_StackingCVRegressor_0.25,0.9972569527311163
HMT40,HMT40_0.3_StackingCVRegressor_0.25,0.979753529776207
RAVLT_immediate,RAVLT_immediate_0.3_StackingCVRegressor_0.25,0.7959061269903259
HMT15,HMT15_0.3_StackingCVRegressor_0.25,0.9986897091577737
RCT29,RCT29_0.3_StackingCVRegressor_0.25,0.7496043203385373
RCT392,RCT392_0.3_StackingCVRegressor_0.25,0.4726264002470939
