Feature,Model,Score
BCHDACHE,BCHDACHE_0.3_StackingCVClassifier_0.25,0.8924669350201265
MH4CARD,MH4CARD_0.3_StackingCVClassifier_0.25,0.7469810235767682
NXVISUAL,NXVISUAL_0.3_StackingCVClassifier_0.25,0.9487804878048779
MH16SMOK,MH16SMOK_0.3_StackingCVClassifier_0.25,0.6135710178263369
NXSENSOR,NXSENSOR_0.3_StackingCVClassifier_0.25,0.8663414634146341
MH17MALI,MH17MALI_0.3_StackingCVClassifier_0.25,0.7648073605520413
DX_FINAL,DX_FINAL_0.3_StackingCVClassifier_0.25,0.987090367428004
NXMOTOR,NXMOTOR_0.3_StackingCVClassifier_0.25,0.9668292682926828
BCSWEATN,BCSWEATN_0.3_StackingCVClassifier_0.25,0.9321449108683152
DX_BASE,DX_BASE_0.3_StackingCVClassifier_0.25,1.0
MH9ENDO,MH9ENDO_0.3_StackingCVClassifier_0.25,0.5945945945945946
BCFALL,BCFALL_0.3_StackingCVClassifier_0.25,0.9436457734330076
NXTENDON,NXTENDON_0.3_StackingCVClassifier_0.25,0.8662762323084432
NXAUDITO,NXAUDITO_0.3_StackingCVClassifier_0.25,0.9053658536585366
MH10GAST,MH10GAST_0.3_StackingCVClassifier_0.25,0.6520989074180563
BCVISION,BCVISION_0.3_StackingCVClassifier_0.25,0.9332949971247844
MHPSYCH,MHPSYCH_0.3_StackingCVClassifier_0.25,0.6877515813686026
APOE4,APOE4_0.3_StackingCVClassifier_0.25,0.9982608695652174
BCDIARRH,BCDIARRH_0.3_StackingCVClassifier_0.25,0.9028177113283496
BCPALPIT,BCPALPIT_0.3_StackingCVClassifier_0.25,0.9631972397929844
BCCONSTP,BCCONSTP_0.3_StackingCVClassifier_0.25,0.8775158136860265
BCRASH,BCRASH_0.3_StackingCVClassifier_0.25,0.9252443933294996
BCANKLE,BCANKLE_0.3_StackingCVClassifier_0.25,0.9016676250718804
MH13ALLE,MH13ALLE_0.3_StackingCVClassifier_0.25,0.6055204140310523
MH3HEAD,MH3HEAD_0.3_StackingCVClassifier_0.25,0.6607245543415756
BCDPMOOD,BCDPMOOD_0.3_StackingCVClassifier_0.25,0.8660149511213341
BCDIZZY,BCDIZZY_0.3_StackingCVClassifier_0.25,0.8665899942495687
BCDRYMTH,BCDRYMTH_0.3_StackingCVClassifier_0.25,0.8815411155836688
BCBREATH,BCBREATH_0.3_StackingCVClassifier_0.25,0.920069005175388
APGEN1,APGEN1_0.3_StackingCVClassifier_0.25,0.9031884057971016
DXCOMB,DXCOMB_0.3_StackingCVClassifier_0.25,0.9990305380513816
NXTREMOR,NXTREMOR_0.3_StackingCVClassifier_0.25,0.8873170731707317
MH5RESP,MH5RESP_0.3_StackingCVClassifier_0.25,0.7878090856814262
NXFINGER,NXFINGER_0.3_StackingCVClassifier_0.25,0.9736585365853658
MH6HEPAT,MH6HEPAT_0.3_StackingCVClassifier_0.25,0.9631972397929844
NXNERVE,NXNERVE_0.3_StackingCVClassifier_0.25,0.9536585365853658
BCABDOMN,BCABDOMN_0.3_StackingCVClassifier_0.25,0.9212190914318574
MH18SURG,MH18SURG_0.3_StackingCVClassifier_0.25,0.7441058079355952
NXOTHER,NXOTHER_0.3_StackingCVClassifier_0.25,0.9489583333333332
MH8MUSCL,MH8MUSCL_0.3_StackingCVClassifier_0.25,0.7044278320874066
NXGAIT,NXGAIT_0.3_StackingCVClassifier_0.25,0.8970731707317073
BCINSOMN,BCINSOMN_0.3_StackingCVClassifier_0.25,0.8401380103507763
BCNAUSEA,BCNAUSEA_0.3_StackingCVClassifier_0.25,0.9695227142035652
BCMUSCLE,BCMUSCLE_0.3_StackingCVClassifier_0.25,0.6745255894192065
MH7DERM,MH7DERM_0.3_StackingCVClassifier_0.25,0.6929269695227142
BCCOUGH,BCCOUGH_0.3_StackingCVClassifier_0.25,0.8723404255319149
MH2NEURL,MH2NEURL_0.3_StackingCVClassifier_0.25,0.7159286946520992
BCURNFRQ,BCURNFRQ_0.3_StackingCVClassifier_0.25,0.7418056354226567
BCCRYING,BCCRYING_0.3_StackingCVClassifier_0.25,0.9631972397929844
