Feature,Model,Score
DXDEP,DXDEP_1_StackingCVClassifier_0.25,0.9252252252252252
BCCONSTP,BCCONSTP_1_StackingCVClassifier_0.25,0.8775158136860265
MH9ENDO,MH9ENDO_1_StackingCVClassifier_0.25,0.5888441633122484
BCDIZZY,BCDIZZY_1_StackingCVClassifier_0.25,0.8665899942495687
MH8MUSCL,MH8MUSCL_1_StackingCVClassifier_0.25,0.6894767107533065
BCPALPIT,BCPALPIT_1_StackingCVClassifier_0.25,0.9631972397929844
MOMAD,MOMAD_1_StackingCVClassifier_0.25,0.7239627434377646
BCBREATH,BCBREATH_1_StackingCVClassifier_0.25,0.9206440483036228
BCMUSCLE,BCMUSCLE_1_StackingCVClassifier_0.25,0.6768257619321449
BCENERGY,BCENERGY_1_StackingCVClassifier_0.25,0.8073605520414031
BCANKLE,BCANKLE_1_StackingCVClassifier_0.25,0.9010925819436456
DADAD,DADAD_1_StackingCVClassifier_0.25,0.8098016336056009
NXTREMOR,NXTREMOR_1_StackingCVClassifier_0.25,0.8873170731707317
NXPLANTA,NXPLANTA_1_StackingCVClassifier_0.25,0.9798129000492368
NXMOTOR,NXMOTOR_1_StackingCVClassifier_0.25,0.9668292682926828
MH13ALLE,MH13ALLE_1_StackingCVClassifier_0.25,0.6089706728004599
MH16SMOK,MH16SMOK_1_StackingCVClassifier_0.25,0.7084531339850488
APOE4,APOE4_1_StackingCVClassifier_0.25,0.9994202898550724
BCCOUGH,BCCOUGH_1_StackingCVClassifier_0.25,0.8723404255319149
MH17MALI,MH17MALI_1_StackingCVClassifier_0.25,0.7648073605520413
NXSENSOR,NXSENSOR_1_StackingCVClassifier_0.25,0.8663414634146341
MH10GAST,MH10GAST_1_StackingCVClassifier_0.25,0.6561242093156987
BCABDOMN,BCABDOMN_1_StackingCVClassifier_0.25,0.9212190914318574
PTHAND,PTHAND_1_StackingCVClassifier_0.25,0.9079457364341084
DXCOMB,DXCOMB_1_StackingCVClassifier_0.25,0.9995152690256908
APGEN1,APGEN1_1_StackingCVClassifier_0.25,0.9031884057971016
BCFALL,BCFALL_1_StackingCVClassifier_0.25,0.9436457734330076
BCDIARRH,BCDIARRH_1_StackingCVClassifier_0.25,0.9028177113283496
DX_FINAL,DX_FINAL_1_StackingCVClassifier_0.25,0.9801390268123138
BCURNFRQ,BCURNFRQ_1_StackingCVClassifier_0.25,0.7423806785508913
BCINSOMN,BCINSOMN_1_StackingCVClassifier_0.25,0.8407130534790109
BCSWEATN,BCSWEATN_1_StackingCVClassifier_0.25,0.9321449108683152
BCVISION,BCVISION_1_StackingCVClassifier_0.25,0.9332949971247844
BCNAUSEA,BCNAUSEA_1_StackingCVClassifier_0.25,0.9695227142035652
NXGAIT,NXGAIT_1_StackingCVClassifier_0.25,0.8970731707317073
MH14ALCH,MH14ALCH_1_StackingCVClassifier_0.25,0.9585968947671076
BCHDACHE,BCHDACHE_1_StackingCVClassifier_0.25,0.8924669350201265
MH2NEURL,MH2NEURL_1_StackingCVClassifier_0.25,0.7147786083956297
DADDEM,DADDEM_1_StackingCVClassifier_0.25,0.8049853372434017
NXNERVE,NXNERVE_1_StackingCVClassifier_0.25,0.9536585365853658
MH12RENA,MH12RENA_1_StackingCVClassifier_0.25,0.6630247268545141
NXVISUAL,NXVISUAL_1_StackingCVClassifier_0.25,0.9487804878048779
BCCRYING,BCCRYING_1_StackingCVClassifier_0.25,0.9631972397929844
MH11HEMA,MH11HEMA_1_StackingCVClassifier_0.25,0.912593444508338
BCDRYMTH,BCDRYMTH_1_StackingCVClassifier_0.25,0.8798159861989651
MHPSYCH,MHPSYCH_1_StackingCVClassifier_0.25,0.7027027027027027
NXOTHER,NXOTHER_1_StackingCVClassifier_0.25,0.9489583333333332
MH18SURG,MH18SURG_1_StackingCVClassifier_0.25,0.7441058079355952
NXAUDITO,NXAUDITO_1_StackingCVClassifier_0.25,0.9053658536585366
MH6HEPAT,MH6HEPAT_1_StackingCVClassifier_0.25,0.9631972397929844
NXTENDON,NXTENDON_1_StackingCVClassifier_0.25,0.8657881893606637
NXFINGER,NXFINGER_1_StackingCVClassifier_0.25,0.9736585365853658
MH7DERM,MH7DERM_1_StackingCVClassifier_0.25,0.6940770557791834
MH5RESP,MH5RESP_1_StackingCVClassifier_0.25,0.7872340425531915
MH4CARD,MH4CARD_1_StackingCVClassifier_0.25,0.7366302472685451
MH3HEAD,MH3HEAD_1_StackingCVClassifier_0.25,0.6543990799309948
BCRASH,BCRASH_1_StackingCVClassifier_0.25,0.9258194364577343
DX_BASE,DX_BASE_1_StackingCVClassifier_0.25,0.9995152690256908
BCDROWSY,BCDROWSY_1_StackingCVClassifier_0.25,0.8723404255319149
BCDPMOOD,BCDPMOOD_1_StackingCVClassifier_0.25,0.8660149511213341
WholeBrain,WholeBrain_1_StackingCVRegressor_0.25,0.8564175462599092
MH16CSMOK,MH16CSMOK_1_StackingCVRegressor_0.25,0.4649500354083422
RCT1,RCT1_1_StackingCVRegressor_0.25,0.7088158846548813
EcogSPMem,EcogSPMem_1_StackingCVRegressor_0.25,0.9666793734380507
RCT6,RCT6_1_StackingCVRegressor_0.25,0.35743414815009666
HMT9,HMT9_1_StackingCVRegressor_0.25,0.9560962034505608
ICV,ICV_1_StackingCVRegressor_0.25,0.8373471013185285
ADAS13,ADAS13_1_StackingCVRegressor_0.25,0.9890990020105097
mPACCdigit,mPACCdigit_1_StackingCVRegressor_0.25,0.9937391306541731
RCT13,RCT13_1_StackingCVRegressor_0.25,0.4160066171438404
EcogPtLang,EcogPtLang_1_StackingCVRegressor_0.25,0.9873499855724939
EcogSPDivatt,EcogSPDivatt_1_StackingCVRegressor_0.25,0.9136559532701366
UAT2,UAT2_1_StackingCVRegressor_0.25,0.14155468544156874
RCT9,RCT9_1_StackingCVRegressor_0.25,0.15825600579034463
MidTemp,MidTemp_1_StackingCVRegressor_0.25,0.6446310338378416
HMT100,HMT100_1_StackingCVRegressor_0.25,0.9640389394466338
Ventricles,Ventricles_1_StackingCVRegressor_0.25,0.5840364994145538
RCT20,RCT20_1_StackingCVRegressor_0.25,0.25781308968132927
MH16BSMOK,MH16BSMOK_1_StackingCVRegressor_0.25,0.5064736981413442
EcogPtMem,EcogPtMem_1_StackingCVRegressor_0.25,0.9865676197469518
EcogPtTotal,EcogPtTotal_1_StackingCVRegressor_0.25,0.9984259434957167
Hippocampus,Hippocampus_1_StackingCVRegressor_0.25,0.6719836974975054
TRABSCOR,TRABSCOR_1_StackingCVRegressor_0.25,0.9591560685761463
RCT12,RCT12_1_StackingCVRegressor_0.25,0.3806223537620865
mPACCtrailsB,mPACCtrailsB_1_StackingCVRegressor_0.25,0.9956068769782614
HMT15,HMT15_1_StackingCVRegressor_0.25,0.99818879456038
ADASQ4,ADASQ4_1_StackingCVRegressor_0.25,0.9769663859115799
GDTOTAL,GDTOTAL_1_StackingCVRegressor_0.25,0.2524590645651163
FAQ,FAQ_1_StackingCVRegressor_0.25,0.7680616714301925
HMT4,HMT4_1_StackingCVRegressor_0.25,0.9654638797621554
RCT183,RCT183_1_StackingCVRegressor_0.25,0.31705538881990936
EcogSPOrgan,EcogSPOrgan_1_StackingCVRegressor_0.25,0.9426018829758533
RCT1407,RCT1407_1_StackingCVRegressor_0.25,0.06554097653642539
LDELTOTAL,LDELTOTAL_1_StackingCVRegressor_0.25,0.972509295166998
RAVLT_immediate,RAVLT_immediate_1_StackingCVRegressor_0.25,0.79888930628841
EcogPtOrgan,EcogPtOrgan_1_StackingCVRegressor_0.25,0.96333460760723
HMT10,HMT10_1_StackingCVRegressor_0.25,0.9862709988099854
HMT40,HMT40_1_StackingCVRegressor_0.25,0.978104432914065
BAT324,BAT324_1_StackingCVRegressor_0.25,-0.007524621249375797
TAU,TAU_1_StackingCVRegressor_0.25,0.9586064197835
EcogSPPlan,EcogSPPlan_1_StackingCVRegressor_0.25,0.9276280483804891
MH14CALCH,MH14CALCH_1_StackingCVRegressor_0.25,-0.04698759158490012
MOCA,MOCA_1_StackingCVRegressor_0.25,0.6664702112079611
MH16ASMOK,MH16ASMOK_1_StackingCVRegressor_0.25,-0.015182550906357095
HMT12,HMT12_1_StackingCVRegressor_0.25,0.9612073201423049
HMT20,HMT20_1_StackingCVRegressor_0.25,-0.0325901236389872
HMT18,HMT18_1_StackingCVRegressor_0.25,0.9260285501939293
RCT4,RCT4_1_StackingCVRegressor_0.25,0.574608740094029
RCT29,RCT29_1_StackingCVRegressor_0.25,0.7450870888213794
AXT117,AXT117_1_StackingCVRegressor_0.25,0.02329374308795063
RCT11,RCT11_1_StackingCVRegressor_0.25,0.021971537189723025
FDG,FDG_1_StackingCVRegressor_0.25,0.48420405939457845
HMT3,HMT3_1_StackingCVRegressor_0.25,0.9797211003023132
HMT2,HMT2_1_StackingCVRegressor_0.25,0.9799479948314984
MH14BALCH,MH14BALCH_1_StackingCVRegressor_0.25,-0.13049081703261772
EcogSPTotal,EcogSPTotal_1_StackingCVRegressor_0.25,0.9973995271643207
EcogPtVisspat,EcogPtVisspat_1_StackingCVRegressor_0.25,0.9723195099442818
RCT1408,RCT1408_1_StackingCVRegressor_0.25,0.2621554328832092
HMT17,HMT17_1_StackingCVRegressor_0.25,0.9774442196883828
EcogSPVisspat,EcogSPVisspat_1_StackingCVRegressor_0.25,0.9432370282898964
AV45,AV45_1_StackingCVRegressor_0.25,0.5651461720750945
HMT19,HMT19_1_StackingCVRegressor_0.25,0.9613685765979183
CMT2,CMT2_1_StackingCVRegressor_0.25,0.15860234282083044
DIGITSCOR,DIGITSCOR_1_StackingCVRegressor_0.25,0.990568047060046
RAVLT_perc_forgetting,RAVLT_perc_forgetting_1_StackingCVRegressor_0.25,0.9157074036500105
RCT5,RCT5_1_StackingCVRegressor_0.25,0.5437944632485022
MH15ADRUG,MH15ADRUG_1_StackingCVRegressor_0.25,-0.31619128593474416
HMT21,HMT21_1_StackingCVRegressor_0.25,-0.0073142857142857965
MH14AALCH,MH14AALCH_1_StackingCVRegressor_0.25,-0.5431247626373463
HMT13,HMT13_1_StackingCVRegressor_0.25,0.24374880479917713
MMSCORE,MMSCORE_1_StackingCVRegressor_0.25,0.9973594986008362
EcogPtPlan,EcogPtPlan_1_StackingCVRegressor_0.25,0.9555463819113992
RCT3,RCT3_1_StackingCVRegressor_0.25,0.22220225119661788
CMT3,CMT3_1_StackingCVRegressor_0.25,0.03106116496641517
RAVLT_forgetting,RAVLT_forgetting_1_StackingCVRegressor_0.25,0.9167451735067065
RAVLT_learning,RAVLT_learning_1_StackingCVRegressor_0.25,0.5919274644947377
RCT19,RCT19_1_StackingCVRegressor_0.25,0.1545076911208137
PTAU,PTAU_1_StackingCVRegressor_0.25,0.9649450564896422
HMT11,HMT11_1_StackingCVRegressor_0.25,0.9212000023873724
HMT95,HMT95_1_StackingCVRegressor_0.25,-2.91075514087798
EcogPtDivatt,EcogPtDivatt_1_StackingCVRegressor_0.25,0.9648654172356284
RCT8,RCT8_1_StackingCVRegressor_0.25,0.34155991782263556
HMT16,HMT16_1_StackingCVRegressor_0.25,0.9979636944132536
RCT392,RCT392_1_StackingCVRegressor_0.25,0.469523968490141
HMT102,HMT102_1_StackingCVRegressor_0.25,0.9086495322994287
ABETA,ABETA_1_StackingCVRegressor_0.25,0.6924472454801321
UAT3,UAT3_1_StackingCVRegressor_0.25,0.03290934173764179
HMT96,HMT96_1_StackingCVRegressor_0.25,-2.6654607426303887
MH15BDRUG,MH15BDRUG_1_StackingCVRegressor_0.25,-6.121448126984148
HMT8,HMT8_1_StackingCVRegressor_0.25,0.9971399032462297
ADAS11,ADAS11_1_StackingCVRegressor_0.25,0.9787554332531991
EcogSPLang,EcogSPLang_1_StackingCVRegressor_0.25,0.9736928354353026
Entorhinal,Entorhinal_1_StackingCVRegressor_0.25,0.5305252337109179
RCT14,RCT14_1_StackingCVRegressor_0.25,0.23299038389558105
BAT126,BAT126_1_StackingCVRegressor_0.25,0.018589328799526773
Fusiform,Fusiform_1_StackingCVRegressor_0.25,0.6034648006353399
HMT7,HMT7_1_StackingCVRegressor_0.25,0.9955022008634521
